epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1452,0.59535,2.43418,0.85392,0.00333,1,0.99459,0.80371,0.51511,3.28849,0.80365,0.000644444,0.000644444,0.000644444
2,163.833,0.5945,1.38969,0.86825,1,0.20126,0.97675,0.85927,0.54982,3.18112,0.8925,0.00122458,0.00122458,0.00122458
3,251.846,0.58231,1.37287,0.87871,0.99547,1,0.995,0.87049,0.56988,2.16668,0.88005,0.00171671,0.00171671,0.00171671
4,318.11,0.55777,1.23361,0.87182,0.99668,1,0.995,0.84581,0.59743,1.77242,0.86102,0.001604,0.001604,0.001604
5,387.972,0.54299,1.09922,0.8781,0.99838,1,0.995,0.89282,0.46942,1.12157,0.85256,0.001472,0.001472,0.001472
6,452.641,0.46237,1.24674,0.85382,0.99841,1,0.995,0.93902,0.3622,1.02027,0.82866,0.00134,0.00134,0.00134
7,515.361,0.39736,0.96195,0.83158,0.99878,1,0.995,0.93145,0.34587,0.85194,0.8124,0.001208,0.001208,0.001208
8,578.215,0.35411,0.91389,0.82895,0.99881,1,0.995,0.95822,0.2937,0.78386,0.81054,0.001076,0.001076,0.001076
9,641.312,0.34189,0.84256,0.81491,0.99885,1,0.995,0.97748,0.26704,0.70765,0.79343,0.000944,0.000944,0.000944
10,704.88,0.31926,0.77287,0.80855,0.9988,1,0.995,0.99091,0.23887,0.64843,0.78841,0.000812,0.000812,0.000812
11,770.712,0.29165,0.7218,0.81316,0.99886,1,0.995,0.98536,0.21262,0.61276,0.78875,0.00068,0.00068,0.00068
12,854.64,0.28184,0.70116,0.81535,0.99886,1,0.995,0.98922,0.18263,0.60109,0.78558,0.000548,0.000548,0.000548
13,927.528,0.26519,0.68737,0.8103,0.99889,1,0.995,0.9828,0.21744,0.55947,0.78693,0.000416,0.000416,0.000416
14,998.059,0.26306,0.63886,0.81235,0.99889,1,0.995,0.99275,0.19403,0.55315,0.78454,0.000284,0.000284,0.000284
15,1067.22,0.2354,0.61084,0.78839,0.99888,1,0.995,0.995,0.15899,0.54282,0.78158,0.000152,0.000152,0.000152
